,0,1,2,3,4,5,6,7,8,9,10,11
0,inf,inf,5.93054861624041,9.393576603214614,4.751505007974824,4.058089831967649,4.67688470637139,6.740434780024248,7.9854973540188725,6.2188619981428905,9.806438034507112,9.348917354613999
1,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,2.0
