"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$1,988,832,912,360","0.73%","0.00","0.00","0.00","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,657,655,067,218","1.14%","0.00","0.00","0.00","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,042,954,820,000","0.00%","0.00","0.00","0.00","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,042,954,820,000","0.00%","0.00","0.00","0.00","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$847,961,495,109","0.00%","0.00","0.00","0.00","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$690,082,573,833","0.00%","0.00","0.00","0.00","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$467,469,668,932","2.47%","0.00","0.00","0.00","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$457,793,671,807","1.30%","0.00","0.00","0.00","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$455,194,971,823","3.17%","0.00","0.00","0.00","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$399,085,420,506","0.74%","0.00","0.00","0.00","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$397,009,281,591","2.93%","0.00","0.00","0.00","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$395,836,311,926","1.52%","0.00","0.00","0.00","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$358,635,990,019","2.38%","0.00","0.00","0.00","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$355,198,500,000","0.11%","0.00","0.00","0.00","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$345,747,084,765","0.00%","0.00","0.00","0.00","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$341,468,600,000","0.00%","0.00","0.00","0.00","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$341,037,851,868","1.09%","0.00","0.00","0.00","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$338,850,818,801","3.20%","0.00","0.00","0.00","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$334,975,627,999","0.42%","0.00","0.00","0.00","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$322,954,980,973","2.39%","0.00","0.00","0.00","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$289,128,878,253","3.40%","0.00","0.00","0.00","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$288,122,398,485","2.44%","0.00","0.00","0.00","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$278,757,199,907","3.18%","0.00","0.00","0.00","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$273,324,266,383","2.50%","0.00","0.00","0.00","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$268,984,725,021","2.80%","0.00","0.00","0.00","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$243,992,300,914","2.53%","0.00","0.00","0.00","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$231,935,165,423","3.01%","0.00","0.00","0.00","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$227,321,090,430","1.13%","0.00","0.00","0.00","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$218,429,393,516","0.22%","0.00","0.00","0.00","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$199,762,374,717","0.77%","0.00","0.00","0.00","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$193,187,974,492","1.69%","0.00","0.00","0.00","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$192,622,614,549","3.21%","0.00","0.00","0.00","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$192,012,247,527","2.14%","0.00","0.00","0.00","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$188,167,200,000","1.04%","0.00","0.00","0.00","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$185,797,920,431","0.39%","0.00","0.00","0.00","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$179,755,389,280","0.00%","0.00","0.00","0.00","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$177,190,298,089","4.51%","0.00","0.00","0.00","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$173,143,011,149","1.52%","0.00","0.00","0.00","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$167,624,575,537","0.00%","0.00","0.00","0.00","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$164,199,332,565","2.04%","0.00","0.00","0.00","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$163,089,010,434","2.55%","0.00","0.00","0.00","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$159,530,400,517","2.91%","0.00","0.00","0.00","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$156,291,396,390","4.90%","0.00","0.00","0.00","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$152,913,452,156","3.01%","0.00","0.00","0.00","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$152,691,756,000","0.00%","0.00","0.00","0.00","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$151,500,945,884","2.78%","0.00","0.00","0.00","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$150,914,934,215","1.00%","0.00","0.00","0.00","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$150,472,380,157","1.52%","0.00","0.00","0.00","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$150,357,372,587","3.42%","0.00","0.00","0.00","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$148,299,730,982","2.12%","0.00","0.00","0.00","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$145,503,718,377","4.19%","0.00","0.00","0.00","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$145,214,201,280","3.39%","0.00","0.00","0.00","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$142,390,946,913","2.88%","0.00","0.00","0.00","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$137,469,726,777","1.92%","0.00","0.00","0.00","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$136,967,300,000","6.23%","0.00","0.00","0.00","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$136,823,913,978","0.00%","0.00","0.00","0.00","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$136,340,000,000","0.00%","0.00","0.00","0.00","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$127,581,271,083","4.59%","0.00","0.00","0.00","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$125,043,959,819","1.90%","0.00","0.00","0.00","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$125,027,625,528","2.37%","0.00","0.00","0.00","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$124,853,746,464","2.48%","0.00","0.00","0.00","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$124,618,052,837","1.83%","0.00","0.00","0.00","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$123,687,937,596","1.08%","0.00","0.00","0.00","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$122,637,400,000","2.66%","0.00","0.00","0.00","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$121,725,351,533","0.00%","0.00","0.00","0.00","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$119,864,754,000","1.89%","0.00","0.00","0.00","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$118,848,307,190","2.41%","0.00","0.00","0.00","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$116,409,025,971","2.60%","0.00","0.00","0.00","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$113,740,120,000","5.21%","0.00","0.00","0.00","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$113,520,328,262","1.08%","0.00","0.00","0.00","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$111,914,640,000","0.99%","0.00","0.00","0.00","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$109,417,283,675","1.41%","0.00","0.00","0.00","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$107,676,834,093","3.35%","0.00","0.00","0.00","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$106,454,303,639","3.30%","0.00","0.00","0.00","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$105,521,179,967","0.75%","0.00","0.00","0.00","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$105,323,146,415","2.76%","0.00","0.00","0.00","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$104,169,417,414","2.77%","0.00","0.00","0.00","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$100,498,159,577","0.00%","0.00","0.00","0.00","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$98,768,916,564","2.75%","0.00","0.00","0.00","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$96,916,211,671","1.86%","0.00","0.00","0.00","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$94,926,163,193","0.00%","0.00","0.00","0.00","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$94,539,364,863","1.13%","0.00","0.00","0.00","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$93,211,573,000","0.94%","0.00","0.00","0.00","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$93,191,409,617","1.41%","0.00","0.00","0.00","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$93,002,747,627","1.47%","0.00","0.00","0.00","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$92,788,639,255","1.46%","0.00","0.00","0.00","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$90,547,871,392","4.29%","0.00","0.00","0.00","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$90,390,289,045","2.20%","0.00","0.00","0.00","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$86,949,915,120","0.00%","0.00","0.00","0.00","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$83,200,909,897","0.00%","0.00","0.00","0.00","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$82,658,161,578","1.04%","0.00","0.00","0.00","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$82,407,019,327","1.35%","0.00","0.00","0.00","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$81,345,652,689","1.28%","0.00","0.00","0.00","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$81,329,468,818","1.89%","0.00","0.00","0.00","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$81,310,871,679","7.87%","0.00","0.00","0.00","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$79,516,681,837","3.80%","0.00","0.00","0.00","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$77,896,311,701","0.35%","0.00","0.00","0.00","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$77,502,963,127","0.00%","0.00","0.00","0.00","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$76,954,219,219","0.30%","0.00","0.00","0.00","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$76,620,793,635","3.78%","0.00","0.00","0.00","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$74,685,732,129","1.23%","0.00","0.00","0.00","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$74,494,426,285","0.00%","0.00","0.00","0.00","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$73,996,640,000","0.00%","0.00","0.00","0.00","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$73,059,505,512","2.32%","0.00","0.00","0.00","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$72,576,456,442","1.36%","0.00","0.00","0.00","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$71,000,113,304","2.53%","0.00","0.00","0.00","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$70,763,990,010","0.89%","0.00","0.00","0.00","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$68,810,869,342","0.88%","0.00","0.00","0.00","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$67,965,268,828","4.77%","0.00","0.00","0.00","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$67,857,558,606","4.05%","0.00","0.00","0.00","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$67,236,954,636","2.29%","0.00","0.00","0.00","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$67,160,166,840","2.02%","0.00","0.00","0.00","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$66,963,587,367","2.13%","0.00","0.00","0.00","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$66,659,153,176","0.00%","0.00","0.00","0.00","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$65,597,724,053","2.35%","0.00","0.00","0.00","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$65,542,564,264","0.00%","0.00","0.00","0.00","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$65,466,992,041","1.62%","0.00","0.00","0.00","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$64,985,453,813","1.29%","0.00","0.00","0.00","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$64,276,954,289","3.56%","0.00","0.00","0.00","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$63,121,790,754","0.00%","0.00","0.00","0.00","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$62,518,440,000","2.04%","0.00","0.00","0.00","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$62,128,279,328","0.73%","0.00","0.00","0.00","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$61,783,487,190","0.64%","0.00","0.00","0.00","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$61,132,529,531","1.86%","0.00","0.00","0.00","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$61,063,315,185","4.93%","0.00","0.00","0.00","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$60,951,506,141","4.18%","0.00","0.00","0.00","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$60,230,844,550","0.61%","0.00","0.00","0.00","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$59,698,269,160","0.81%","0.00","0.00","0.00","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$59,019,912,994","1.05%","0.00","0.00","0.00","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$58,961,493,839","4.43%","0.00","0.00","0.00","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$57,296,225,693","1.47%","0.00","0.00","0.00","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$57,295,137,433","1.99%","0.00","0.00","0.00","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$56,962,410,483","2.70%","0.00","0.00","0.00","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$56,944,395,289","0.94%","0.00","0.00","0.00","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$56,878,365,872","1.54%","0.00","0.00","0.00","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$56,552,638,351","0.83%","0.00","0.00","0.00","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$56,264,632,522","0.00%","0.00","0.00","0.00","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$56,188,914,000","2.14%","0.00","0.00","0.00","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$54,956,144,263","10.97%","0.00","0.00","0.00","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$54,869,727,171","0.89%","0.00","0.00","0.00","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$54,238,118,203","2.13%","0.00","0.00","0.00","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$53,037,851,194","0.54%","0.00","0.00","0.00","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$52,927,543,585","1.25%","0.00","0.00","0.00","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$52,372,623,773","0.00%","0.00","0.00","0.00","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$52,206,456,788","0.00%","0.00","0.00","0.00","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$51,213,094,099","4.28%","0.00","0.00","0.00","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$50,689,608,000","1.01%","0.00","0.00","0.00","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$50,626,363,678","3.81%","0.00","0.00","0.00","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$49,979,508,624","2.18%","0.00","0.00","0.00","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$49,769,040,622","2.46%","0.00","0.00","0.00","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$49,724,387,545","0.51%","0.00","0.00","0.00","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$49,177,349,342","3.04%","0.00","0.00","0.00","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$48,690,570,583","3.66%","0.00","0.00","0.00","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$48,383,114,782","4.03%","0.00","0.00","0.00","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$48,190,135,723","3.34%","0.00","0.00","0.00","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$48,017,512,798","0.00%","0.00","0.00","0.00","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$47,929,551,190","2.97%","0.00","0.00","0.00","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$47,645,425,513","2.86%","0.00","0.00","0.00","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$47,186,660,435","2.00%","0.00","0.00","0.00","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$47,126,417,583","0.67%","0.00","0.00","0.00","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$46,480,824,315","0.00%","0.00","0.00","0.00","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$46,270,421,940","1.89%","0.00","0.00","0.00","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$46,157,830,853","0.57%","0.00","0.00","0.00","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$45,754,553,539","2.30%","0.00","0.00","0.00","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$45,749,246,400","1.73%","0.00","0.00","0.00","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$45,743,678,421","3.38%","0.00","0.00","0.00","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,643,751,218","1.05%","0.00","0.00","0.00","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$45,348,557,568","0.00%","0.00","0.00","0.00","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$45,035,518,004","0.56%","0.00","0.00","0.00","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$44,656,353,902","2.13%","0.00","0.00","0.00","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$44,457,882,040","2.22%","0.00","0.00","0.00","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$44,022,943,880","0.97%","0.00","0.00","0.00","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$43,951,878,314","1.94%","0.00","0.00","0.00","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$43,749,223,881","0.00%","0.00","0.00","0.00","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$43,403,665,843","1.06%","0.00","0.00","0.00","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$43,141,169,981","0.00%","0.00","0.00","0.00","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$43,012,748,800","0.00%","0.00","0.00","0.00","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$42,656,882,680","1.27%","0.00","0.00","0.00","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,512,284,043","3.12%","0.00","0.00","0.00","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$42,183,607,680","0.98%","0.00","0.00","0.00","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$41,251,647,930","1.41%","0.00","0.00","0.00","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,222,954,429","2.62%","0.00","0.00","0.00","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,931,383,113","5.92%","0.00","0.00","0.00","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$40,773,527,466","1.04%","0.00","0.00","0.00","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$40,647,360,415","4.22%","0.00","0.00","0.00","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$40,462,545,105","2.73%","0.00","0.00","0.00","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$39,779,792,666","2.19%","0.00","0.00","0.00","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$39,755,283,249","4.59%","0.00","0.00","0.00","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$39,669,144,800","5.12%","0.00","0.00","0.00","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$39,664,437,487","1.51%","0.00","0.00","0.00","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$39,601,339,547","1.55%","0.00","0.00","0.00","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$39,377,487,378","0.00%","0.00","0.00","0.00","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$39,333,129,000","4.25%","0.00","0.00","0.00","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$39,309,009,600","1.09%","0.00","0.00","0.00","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$39,284,787,633","0.00%","0.00","0.00","0.00","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$39,247,728,133","2.16%","0.00","0.00","0.00","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$39,109,341,312","0.00%","0.00","0.00","0.00","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$39,013,345,280","2.71%","0.00","0.00","0.00","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$38,651,159,208","2.52%","0.00","0.00","0.00","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$38,457,471,762","0.00%","0.00","0.00","0.00","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$38,389,974,779","5.74%","0.00","0.00","0.00","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$38,277,748,411","1.67%","0.00","0.00","0.00","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$38,158,896,392","2.97%","0.00","0.00","0.00","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$38,005,601,861","1.67%","0.00","0.00","0.00","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$37,816,032,146","0.00%","0.00","0.00","0.00","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$37,235,902,923","5.19%","0.00","0.00","0.00","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$37,069,648,722","0.00%","0.00","0.00","0.00","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$36,991,680,000","4.74%","0.00","0.00","0.00","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$36,954,302,041","2.42%","0.00","0.00","0.00","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$36,881,225,254","1.86%","0.00","0.00","0.00","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$36,710,393,174","0.99%","0.00","0.00","0.00","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$36,701,112,061","1.74%","0.00","0.00","0.00","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$35,872,031,797","2.52%","0.00","0.00","0.00","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$35,368,421,964","1.23%","0.00","0.00","0.00","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$35,207,432,745","1.85%","0.00","0.00","0.00","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$35,159,315,456","1.46%","0.00","0.00","0.00","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$34,729,940,718","1.52%","0.00","0.00","0.00","Analyze"
